event_id,event_date,latitude,longitude
1067,7/31/2009 0:00,28.8378,81.708
1048,7/2/2009,28.2039,83.9806
1049,7/2/2009,27.9447,84.2279
1062,7/27/2009 0:00,28,85.71
1065,7/31/2009 0:00,28.1046,83.8791
3712,7/3/2011,27.7394,83.5754
3709,7/3/2011,28.3683,83.2934
3710,7/3/2011,28.0889,83.2934
3978,9/17/2011 9:00,28.3875,82.6474
5102,7/14/2013 0:00,28.4311,82.1847
5103,7/14/2013 0:00,28.6202,82.4393
666,7/24/2008 0:00,29.0833,81.3333
8220,9/16/2015 0:00,26.9597,86.5598
9319,2/22/2016 23:00,28.5873,83.7508
3790,7/16/2011 0:00,27.99134853,84.06527738
9249,7/30/2016 9:00,27.5269,85.5641
5909,2/28/2014 0:00,29.58,80.67
7325,8/16/2015 13:00,28.2576,83.6182
2313,8/23/2010 2:00,27.59,83.88
191,8/19/2007 0:00,27.4211,85.0249
3724,7/4/2011,28.9743,83.8713
2099,7/19/2010 0:00,29.0399,81.7191
2403,9/8/2010,27.7773,85.8416
2307,8/21/2010 0:00,27.2485,86.6444
3779,7/15/2011 0:00,27.8871,83.9704
4726,1/21/2013 0:00,29.1426,81.8833
1114,8/20/2009 0:00,27.9504,84.3075
8677,10/8/2015,27.2625,87.6017
7225,7/19/2015 8:00,28.2658,83.6117
1392,1/10/2010,28.12,82.86
2287,8/19/2010 23:00,28.3401,83.5983
3697,7/2/2011,27.9939,84.094
1229,10/6/2009,29.2944,81.3
6164,7/20/2014 23:00,28.8389,82.2873
6553,8/26/2014 18:00,28.0989,83.8734
6549,8/25/2014 9:00,28.2134,83.9557
6526,8/14/2014 0:00,28.3466,85.0058
5443,9/3/2013,28.3922,83.1913
7315,5/24/2015 0:00,28.3928,83.5942
5446,9/3/2013,28.2399,83.2266
5342,8/17/2013 9:00,28.935,82.3125
5302,8/9/2013,28.3742,83.5214
3998,9/30/2011 0:00,28.4115,84.7943
9167,6/14/2016 0:00,26.8823,87.9125
2428,9/14/2010 0:00,29.477,80.3491
5470,9/6/2013,26.8722,87.3303
7106,5/2/2015,28.2135,84.7277
232,9/5/2007,27.9167,84.25
2060,7/11/2010,28.0063,83.7826
6139,7/13/2014 0:00,27.5687,85.34
4997,6/29/2013 0:00,28.3536,82.3997
9139,6/14/2016 20:00,27.6276,87.7924
1913,5/29/2010 9:00,28.11,83.68
6565,8/25/2011 0:00,29.5311,81.9616
801,9/21/2008 0:00,28.51,81.48
3989,9/26/2011 23:20,27.4082091,87.29003611
2430,9/14/2010 0:00,27.8732,85.9259
5101,7/14/2013 0:00,28.0583,82.402
6979,6/11/2015,27.36,87.6681
2057,7/11/2010,27.81963827,84.46652548
7319,8/17/2015 0:00,28.2887,83.8974
4901,6/5/2013,27.4513,87.6093
257,9/10/2007,27.2667,85.9667
5040,7/6/2013,27.7801,84.4384
7307,8/4/2015,28.2872,84.2015
3715,7/3/2011,26.8998,86.7014
1132,9/1/2009,27.4167,86.6667
4560,9/17/2012 23:00,28.023,83.8049
7643,4/10/2016,27.5108,86.02
3781,7/15/2011 9:00,28.7434,82.4753
8375,6/30/2016 23:00,29.6394,80.7179
7651,8/11/2015,29.3064,81.0561
3686,7/1/2011,27.9333,84.4167
3824,7/21/2011 0:00,28.0889,85.6352
3814,7/20/2011 9:00,28.2638,83.9725
3700,7/2/2011,28.0075,84.088
5164,7/22/2013 0:00,27.9142,83.7876
5075,7/10/2013,27.5001,86.8669
2315,8/23/2010 0:00,29.4605,81.682
1158,9/12/2009,29.3083,81.057
6564,8/21/2011 0:00,29.5023,82.2504
9267,8/1/2016,27.8009,84.8423
145,7/28/2007 0:00,28.0764,83.2519
7006,6/26/2015 18:00,28.1881,84.8711
123,7/12/2007,28.2168,83.6666
5713,12/23/2013 15:00,29.3577,80.3109
4958,6/18/2013 0:00,29.5326,82.1482
2360,8/29/2010 22:00,27.7276,88.0446
2316,8/23/2010 0:00,27.6041,84.8603
2035,7/4/2010,28.05,84.95
9035,7/16/2016 0:00,29.5679,82.283
7316,8/15/2015 23:00,28.8425,81.7097
3704,7/2/2011,29.0396,81.2519
5056,7/7/2013,29.1309,81.6631
7949,6/28/2016 0:00,28.0336,85.2178
2447,9/18/2010 9:00,27.509,85.1505
216,8/28/2007 0:00,28.3323,83.7438
3679,6/30/2011 0:00,28.0004,84.033
122,7/12/2007,29.356,81.3098
3940,8/22/2011 0:00,28.799,82.4712
4409,6/13/2012 0:00,27.828,83.6349
6524,8/15/2014 0:00,28.4414,82.624
5169,7/22/2013 0:00,27.5,84.6663
5167,7/22/2013 0:00,27.7898,86.3499
9030,7/16/2016 9:00,28.1347,83.2369
6545,8/23/2014 23:00,28.4333,83.1202
2346,8/27/2010 0:00,28.1171,83.2497
4954,6/18/2013 0:00,28.8519,81.7086
9588,9/3/2016,28.4499,83.3453
5445,9/3/2013,28.3328,83.3742
2061,7/11/2010,28.1605,84.0907
6517,8/14/2014 0:00,28.5237,82.5891
795,9/19/2008 0:00,27.72,83.4724
3810,7/19/2011 0:00,27.9358,85.1893
6454,8/7/2014,27.8953,85.6016
7044,7/1/2015,26.8366,88.0839
9171,6/10/2016,29.4596,82.0446
154,8/3/2007,27.9271,83.529
3689,7/1/2011,27.8173,83.4643
765,8/30/2008 0:00,28.01031874,84.37740614
2152,7/27/2010 9:00,27.81229512,84.67982275
263,9/12/2007,27.3667,87.2167
6160,7/18/2014 0:00,27.8126,84.8051
7595,8/7/2015,29.8587,80.5547
6518,8/13/2014 0:00,28.9446,82.2494
2146,7/26/2010 0:00,28.2649,83.7843
9158,7/25/2016 0:00,27.21545164,85.91452544
2231,8/10/2010,29.4469,81.4867
8899,7/10/2016,27.4159,87.6909
1279,11/5/2009,27.5,85.35
3874,8/3/2011,27.7165,85.4279
7905,8/27/2015 0:00,27.8569,85.1287
1098,8/17/2009 23:00,29.3083,80.5792
2030,6/30/2010 3:00,26.97,86.74
818,9/20/2008 0:00,29.11803174,80.67774011
3939,8/22/2011 0:00,28.8687,82.1707
803,9/21/2008 0:00,28.833,80.9
6295,9/19/2014 0:00,28.285,83.8521
6063,6/17/2014 23:00,29.2983,80.7651
1086,8/14/2009 18:00,28.25,83.1792
6512,8/14/2014 15:00,27.5742,85.1509
4579,10/1/2012,26.8016,88.0499
152,8/2/2007,26.4596,87.2758
6081,6/20/2014 0:00,28.0872,83.2935
672,7/27/2008 0:00,27.09,86.37
9185,7/25/2016 23:00,27.1005,87.7831
9326,5/19/2016 23:00,29.158,81.5714
1226,10/6/2009,29.2833,80.675
4429,6/23/2012 0:00,29.3588,81.31
170,8/10/2007,28.601,81.601
4561,9/17/2012 9:00,27.5684,85.2254
9193,7/25/2016 23:00,27.5567,85.1173
6546,8/23/2014 23:00,28.1296,83.5004
204,8/24/2007 0:00,27.9167,83.0833
9473,8/8/2016,28.1314,84.8272
6199,8/16/2014 0:00,27.9911,82.3018
6320,9/16/2014 3:30,28.3921,82.4696
286,9/29/2007 0:00,27.8667,83.4833
4442,6/28/2012 0:00,27.9526,84.227
2359,8/29/2010 23:00,28.2653,83.6032
7007,6/26/2015 0:00,28.266,84.8942
2325,8/24/2010 0:00,27.35,87.6667
6077,6/20/2014 0:00,28.0816,83.2934
2549,10/6/2010,27.88159864,83.77762394
9080,7/20/2016 0:00,27.8883,85.5097
1137,9/5/2009,27.3667,86.0868
6070,6/19/2014 23:00,28.0054,82.68
2167,7/29/2010 8:00,27.80766085,84.69570744
7723,8/21/2015 11:47,28.0297,85.0934
5378,8/19/2013 0:00,29.0387,82.7442
2326,8/24/2010 0:00,27.07,87.73
7100,7/5/2015,28.2631,84.2461
7112,4/28/2015 0:00,28.2001,85.4611
9206,7/26/2016 23:00,28.2091,82.8541
6937,8/9/2013,28.2741,83.7417
3937,8/22/2011 0:00,28.1901,83.6972
5505,9/12/2013,27.3414,86.7506
2446,9/18/2010 0:00,27.5086,85.0855
6118,6/30/2014 23:00,28.2912,83.9422
4448,7/5/2012,28.0458,83.6695
3716,7/3/2011,27.3167,86.5
2090,7/16/2010 0:00,28.02,84.96
5136,7/19/2013 23:00,27.7115,83.9072
7687,6/29/2015 0:00,29.5089,81.6693
7620,8/7/2015,27.6788,85.514
654,7/18/2008 0:00,28.9,80.87
8228,7/4/2016,28.2856,83.0426
6522,8/14/2014 0:00,27.737,84.6073
9543,10/5/2016,27.8987,84.5386
7061,5/12/2015,28.0257,85.7262
9036,7/16/2016 0:00,29.5687,82.2837
4959,6/18/2013 0:00,29.1145,81.6865
4519,8/28/2012 0:00,27.3172,86.5
6082,6/20/2014 0:00,28.0084,82.821
7320,8/17/2015 0:00,28.2924,83.871
3703,7/2/2011,28.0537,83.961
707,8/10/2008,26.9122,87.919
1113,8/20/2009 0:00,27.6072,86.9985
9149,7/23/2016 6:10,27.8324,84.5512
7898,8/28/2015 2:00,27.8426,85.3418
7650,8/10/2015,29.346,81.0083
9532,10/2/2016,27.5778,85.1717
7946,9/5/2015,26.9865,87.8982
4952,6/18/2013 9:00,28.4513,82.2801
7647,4/10/2015,28.1436,84.6979
3823,7/21/2011 0:00,27.703,85.3183
730,8/18/2008 0:00,29.9,81.1333
2036,7/4/2010,28.0306,83.8617
2371,9/2/2010,27.59,86.1
5438,9/2/2013,28.3962,83.2549
2532,10/2/2010,28.1906,82.314
8335,6/27/2016 5:00,27.8178,84.4443
8364,7/1/2016,28.1321,84.4723
2031,6/30/2010 0:00,27.7223,83.4763
2334,8/25/2010 0:00,28.0401,83.8901
3701,7/2/2011,27.6991,84.4179
8377,6/30/2016 23:00,29.7535,80.4934
226,9/2/2007,29.184,81.6018
719,8/15/2008 0:00,29.1964,81.7557
2372,9/2/2010,27.8916,85.5036
7247,7/16/2015 0:00,27.6314,85.0813
9039,7/16/2016 23:00,29.4578,81.4655
7104,5/3/2015,28.4202,84.8996
9163,7/24/2016 9:00,27.1861,87.1305
1141,9/7/2009,27.7667,86.1334
5439,9/2/2013,28.4493,82.9305
6330,11/14/2014 0:00,28.2724,83.7412
2284,8/19/2010 23:00,28.3884,82.2826
3773,7/14/2011 0:00,28.178,83.6987
2365,8/30/2010 0:00,29.0834,81.5834
4562,9/17/2012 9:00,27.5002,86.5833
7960,6/29/2016 9:00,28.0022,85.133
4475,8/15/2012 0:00,27.9783,84.8982
2187,8/1/2010,28.54,83.62
7881,8/29/2015 14:00,27.8884,85.2118
2314,8/23/2010 5:00,27.6832,85.4434
5159,7/22/2013 0:00,27.8852,83.6275
3809,7/19/2011 23:00,28.2636,83.9724
3987,9/25/2011 0:00,27.891,85.149
1103,8/19/2009 23:00,26.908,87.9258
7947,6/28/2016 0:00,28.2465,85.3644
4506,8/21/2012 0:00,27.3329,86.0798
5289,8/6/2013,28.2826,83.7508
3808,7/19/2011 0:00,27.2317,86.822
2074,7/13/2010 9:00,28.2929,82.2617
9500,9/11/2016,28.2568,85.3679
7358,7/29/2015 23:00,28.2748,83.7432
