Title,,,Hazard,event_date,province,district,municipality,ward
Landslide at Gosaikunda Rural Municipality-4,,,Landslide,14/11/2025,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Chakhola, Bhumlu Rural Municipality-10",,,Landslide,6/10/2025,Bagmati,Kavrepalanchok,Bhumlu,10
"Landslide at Rampur, Ramechhap Municipality-5",,,Landslide,5/10/2025,Bagmati,Ramechhap,Ramechhap,5
Landslide at Indrasarowar Rural Municipality-1,,,Landslide,4/10/2025,Bagmati,Makwanpur,Indrasarowar,1
"Landslide at Khadka Gaau , Suryabinayak Municipality-10",,,Landslide,4/10/2025,Bagmati,Bhaktapur,Suryabinayak,10
Landslide at Bagmati Rural Municipality-4,,,Landslide,4/10/2025,Bagmati,Makwanpur,Bagmati,4
Landslide at Gosaikunda Rural Municipality-5,,,Landslide,4/10/2025,Bagmati,Rasuwa,Gosaikunda,5
Landslide at Sunapati Rural Municipality-3,,,Landslide,4/10/2025,Bagmati,Ramechhap,Sunapati,3
Landslide at Suryabinayak Municipality-9,,,Landslide,4/10/2025,Bagmati,Bhaktapur,Suryabinayak,9
Landslide at Changunarayan Municipality-4,,,Landslide,4/10/2025,Bagmati,Bhaktapur,Changunarayan,4
Landslide at Roshi Rural Municipality-11,,,Landslide,4/10/2025,Bagmati,Kavrepalanchok,Roshi,11
"Landslide at Lamidanda, Lisangkhu Pakhar Rural Municipality-6",,,Landslide,3/10/2025,Bagmati,Sindhupalchok,Lisangkhu Pakhar,6
"Landslide at Gajuli, Sunkoshi Rural Municipality-1",,,Landslide,3/10/2025,Bagmati,Sindhuli,Sunkoshi,1
Landslide at Dhulikhel Municipality-9,,,Landslide,3/10/2025,Bagmati,Kavrepalanchok,Dhulikhel,9
Landslide at Dhulikhel Municipality-11,,,Landslide,3/10/2025,Bagmati,Kavrepalanchok,Dhulikhel,11
Landslide at Kageshwori Manahora Municipality-9,,,Landslide,3/10/2025,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Gatlang , Aamachhodingmo Rural Municipality-5",,,Landslide,1/10/2025,Bagmati,Rasuwa,Aamachhodingmo,5
Landslide at Sunkoshi Rural Municipality-7,,,Landslide,27/09/2025,Bagmati,Sindhupalchok,Sunkoshi,7
Landslide at Benighat Rorang Rural Municipality-10,,,Landslide,25/09/2025,Bagmati,Dhading,Benighat Rorang,10
"Landslide at Jalbire , Balefi Rural Municipality-1",,,Landslide,23/09/2025,Bagmati,Sindhupalchok,Balefi,1
Landslide at Benighat Rorang Rural Municipality-10,,,Landslide,23/09/2025,Bagmati,Dhading,Benighat Rorang,10
Landslide at Ichchhyakamana Rural Municipality-4,,,Landslide,23/09/2025,Bagmati,Chitwan,Ichchhyakamana,4
Landslide at Changunarayan Municipality-4,,,Landslide,22/09/2025,Bagmati,Bhaktapur,Changunarayan,4
Landslide at Shankharapur Municipality-8,,,Landslide,20/09/2025,Bagmati,Kathmandu,Shankharapur,8
Landslide at Ichchhyakamana Rural Municipality-5,,,Landslide,20/09/2025,Bagmati,Chitwan,Ichchhyakamana,5
Landslide at Gosaikunda Rural Municipality-3,,,Landslide,20/09/2025,Bagmati,Rasuwa,Gosaikunda,3
Landslide at Ichchhyakamana Rural Municipality-5,,,Landslide,17/09/2025,Bagmati,Chitwan,Ichchhyakamana,5
"Landslide at Siureni , Belkotgadhi Municipality-9",,,Landslide,17/09/2025,Bagmati,Nuwakot,Belkotgadhi,9
"Landslide at Namsi Bridge , Ichchhyakamana Rural Municipality-6",,,Landslide,15/09/2025,Bagmati,Chitwan,Ichchhyakamana,6
Landslide at Ichchhyakamana Rural Municipality-5,,,Landslide,15/09/2025,Bagmati,Chitwan,Ichchhyakamana,5
Landslide at Bigu Rural Municipality-1,,,Landslide,11/9/2025,Bagmati,Dolakha,Bigu,1
"Landslide at Nagthan, Kakani Rural Municipality-1",,,Landslide,6/9/2025,Bagmati,Nuwakot,Kakani,1
"Landslide at Tinpiple , Kageshwori Manahora Municipality-9",,,Landslide,4/9/2025,Bagmati,Kathmandu,Kageshwori Manahora,9
Landslide at Suryagadhi Rural Municipality-4,,,Landslide,1/9/2025,Bagmati,Nuwakot,Suryagadhi,4
Landslide at Jugal Rural Municipality-2,,,Landslide,31/08/2025,Bagmati,Sindhupalchok,Jugal,2
Landslide at Balefi Rural Municipality-1,,,Landslide,31/08/2025,Bagmati,Sindhupalchok,Balefi,1
Landslide at Tamakoshi Rural Municipality-7,,,Landslide,30/08/2025,Bagmati,Dolakha,Tamakoshi,7
Landslide at Kageshwori Manahora Municipality-9,,,Landslide,30/08/2025,Bagmati,Kathmandu,Kageshwori Manahora,9
Landslide at Gosaikunda Rural Municipality-4,,,Landslide,30/08/2025,Bagmati,Rasuwa,Gosaikunda,4
Landslide at Jugal Rural Municipality-2,,,Landslide,30/08/2025,Bagmati,Sindhupalchok,Jugal,2
Landslide at Gosaikunda Rural Municipality-4,,,Landslide,30/08/2025,Bagmati,Rasuwa,Gosaikunda,4
Landslide at Jugal Rural Municipality-1,,,Landslide,28/08/2025,Bagmati,Sindhupalchok,Jugal,1
Landslide at Bigu Rural Municipality-1,,,Landslide,28/08/2025,Bagmati,Dolakha,Bigu,1
Landslide at Kageshwori Manahora Municipality-9,,,Landslide,27/08/2025,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Sirsire, Makawanpurgadhi Rural Municipality-5",,,Landslide,27/08/2025,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Satkilla , Netrawati Dabjong Rural Municipality-1",,,Landslide,26/08/2025,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Simtar , Suryagadhi Rural Municipality-4",,,Landslide,26/08/2025,Bagmati,Nuwakot,Suryagadhi,4
Landslide at Kageshwori Manahora Municipality-9,,,Landslide,22/08/2025,Bagmati,Kathmandu,Kageshwori Manahora,9
Landslide at Gangajamuna Rural Municipality-4,,,Landslide,22/08/2025,Bagmati,Dhading,Gangajamuna,4
Landslide at Tarakeshwor Municipality-1,,,Landslide,21/08/2025,Bagmati,Kathmandu,Tarakeshwor,1
Landslide at Makawanpurgadhi Rural Municipality-5,,,Landslide,21/08/2025,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Dhapasi Salesberi , Kageshwori Manahora Municipality-9",,,Landslide,21/08/2025,Bagmati,Kathmandu,Kageshwori Manahora,9
Landslide at Netrawati Dabjong Rural Municipality-1,,,Landslide,16/08/2025,Bagmati,Dhading,Netrawati Dabjong,1
Landslide at Makawanpurgadhi Rural Municipality-5,,,Landslide,14/08/2025,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Orang , Bigu Rural Municipality-1",,,Landslide,13/08/2025,Bagmati,Dolakha,Bigu,1
"Landslide at Chisodhara , Suryagadhi Rural Municipality-4",,,Landslide,10/8/2025,Bagmati,Nuwakot,Suryagadhi,4
Landslide at Netrawati Dabjong Rural Municipality-1,,,Landslide,7/8/2025,Bagmati,Dhading,Netrawati Dabjong,1
Landslide at Ghanglekh Rural Municipality-5,,,Landslide,7/8/2025,Bagmati,Sindhuli,Ghanglekh,5
"Landslide at Rajamantar , Gokulganga Rural Municipality-4",,,Landslide,1/8/2025,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Naubise , Gosaikunda Rural Municipality-4",,,Landslide,30/07/2025,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Bhiurankot , Bharatpur Metropolitan City-14",,,Landslide,30/07/2025,Bagmati,Chitwan,Bharatpur,14
Landslide at Suryagadhi Rural Municipality-4,,,Landslide,28/07/2025,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Kodari , Jugal Rural Municipality-2",,,Landslide,27/07/2025,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Kajimrang , Netrawati Dabjong Rural Municipality-1",,,Landslide,27/07/2025,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Phyanglung & Ghattekhola , Gosaikunda Rural Municipality-4",,,Landslide,27/07/2025,Bagmati,Rasuwa,Gosaikunda,4
Landslide at Suryagadhi Rural Municipality-4,,,Landslide,27/07/2025,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Kalleri , Dupcheshwar Rural Municipality-3",,,Landslide,23/07/2025,Bagmati,Nuwakot,Dupcheshwar,3
"Landslide at Kodari , Jugal Rural Municipality-2",,,Landslide,22/07/2025,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Bhirkharka , Jugal Rural Municipality-2",,,Landslide,21/07/2025,Bagmati,Sindhupalchok,Jugal,2
Landslide at Jugal Rural Municipality-2,,,Landslide,20/07/2025,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Baseri , Kamalamai Municipality-5",,,Landslide,19/07/2025,Bagmati,Sindhuli,Kamalamai,5
Landslide at Balefi Rural Municipality-8,,,Landslide,19/07/2025,Bagmati,Sindhupalchok,Balefi,8
Landslide at Jugal Rural Municipality-2,,,Landslide,19/07/2025,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Chimling Beshi , Balefi Rural Municipality-7",,,Landslide,19/07/2025,Bagmati,Sindhupalchok,Balefi,7
Landslide at Balefi Rural Municipality-6,,,Landslide,18/07/2025,Bagmati,Sindhupalchok,Balefi,6
"Landslide at Bhasgaau , Konjyosom Rural Municipality-4",,,Landslide,16/07/2025,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Hurhure - Sanima Hydropower Company Road , Bigu Rural Municipality-1",,,Landslide,15/07/2025,Bagmati,Dolakha,Bigu,1
Landslide at Gokulganga Rural Municipality-4,,,Landslide,14/07/2025,Bagmati,Ramechhap,Gokulganga,4
Landslide at Gokulganga Rural Municipality-4,,,Landslide,14/07/2025,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Mahalakshmi , Makawanpurgadhi Rural Municipality-5",,,Landslide,10/7/2025,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Sanjen River Hydroelectricity Project , Gosaikunda Rural Municipality-4",,,Landslide,10/7/2025,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Mahalaxmi, Makawanpurgadhi Rural Municipality-5",,,Landslide,10/7/2025,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Pakhagaau , Dupcheshwar Rural Municipality-4",,,Landslide,9/7/2025,Bagmati,Nuwakot,Dupcheshwar,4
Landslide at Jugal Rural Municipality-2,,,Landslide,8/7/2025,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Ghumaune , Namobuddha Municipality-7",,,Landslide,8/7/2025,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Pasikhel , Kageshwori Manahora Municipality-9",,,Landslide,7/7/2025,Bagmati,Kathmandu,Kageshwori Manahora,9
Landslide at Banepa Municipality-3,,,Landslide,4/7/2025,Bagmati,Kavrepalanchok,Banepa,3
"Landslide at Dadgau, Shivapuri Rural Municipality-7",,,Landslide,4/7/2025,Bagmati,Nuwakot,Shivapuri,7
"Landslide at Tallograng, Kalika Rural Municipality-1",,,Landslide,4/7/2025,Bagmati,Rasuwa,Kalika,1
"Landslide at Timure, Lisangkhu Pakhar Rural Municipality-7",,,Landslide,3/7/2025,Bagmati,Sindhupalchok,Lisangkhu Pakhar,7
"Landslide at Phalate , Suryagadhi Rural Municipality-3",,,Landslide,3/7/2025,Bagmati,Nuwakot,Suryagadhi,3
"Landslide at Bhorle , Neelakantha Municipality-13",,,Landslide,3/7/2025,Bagmati,Dhading,Neelakantha,13
"Landslide at Devighat , Bidur Municipality-5",,,Landslide,3/7/2025,Bagmati,Nuwakot,Bidur,5
"Landslide at Bogatitar, Uttargaya Rural Municipality-5",,,Landslide,2/7/2025,Bagmati,Rasuwa,Uttargaya,5
"Landslide at Syaule , Chautara SangachokGadhi Municipality-1",,,Landslide,2/7/2025,Bagmati,Sindhupalchok,Chautara SangachokGadhi,1
"Landslide at Simbandi, Naukunda Rural Municipality-1",,,Landslide,27/06/2025,Bagmati,Rasuwa,Naukunda,1
Landslide at Suryagadhi Rural Municipality-4,,,Landslide,26/06/2025,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Lachyang , Gosaikunda Rural Municipality-4",,,Landslide,25/06/2025,Bagmati,Rasuwa,Gosaikunda,4
Landslide at Gokulganga Rural Municipality-4,,,Landslide,21/06/2025,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Khimti , Bigu Rural Municipality-1",,,Landslide,21/06/2025,Bagmati,Dolakha,Bigu,1
Landslide at Netrawati Dabjong Rural Municipality-1,,,Landslide,21/06/2025,Bagmati,Dhading,Netrawati Dabjong,1
Landslide at Konjyosom Rural Municipality-4,,,Landslide,20/06/2025,Bagmati,Lalitpur,Konjyosom,4
Landslide at Gosaikunda Rural Municipality-4,,,Landslide,20/06/2025,Bagmati,Rasuwa,Gosaikunda,4
Landslide at Bigu Rural Municipality-1,,,Landslide,20/06/2025,Bagmati,Dolakha,Bigu,1
Landslide at Gokulganga Rural Municipality-4,,,Landslide,20/06/2025,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Phadi, Changunarayan Municipality-6",,,Landslide,19/06/2025,Bagmati,Bhaktapur,Changunarayan,6
"Landslide at Tuinkhola , Bharatpur Metropolitan City-14",,,Landslide,18/06/2025,Bagmati,Chitwan,Bharatpur,14
