S.No.,district,municipality,ward,Incident Place,event_date,Incident,,,,,,,,
1,Shyanja,-,,,14/05/2011,Landslide,,,,,,,,
2,Parsa,-,,,23/05/2011,Landslide,,,,,,,,
3,Baglung,Righa,,,27/05/2011,Landslide,,,,,,,,
4,Tanahu,-,,,3/6/2011,Landslide,,,,,,,,
5,Shyanja,-,,,6/6/2011,Landslide,,,,,,,,
6,Shyanja,PUTALIBAZAR,,,11/6/2011,Landslide,,,,,,,,
7,Khotang,-,,,26/06/2011,Landslide,,,,,,,,
8,Humla,Limi,,,30/06/2011,Landslide,,,,,,,,
9,Shyanja,CHINNEBAS,,,30/06/2011,Landslide,,,,,,,,
10,Shyanja,Shaligram,,,1/7/2011,Landslide,,,,,,,,
11,Shyanja,-,,,1/7/2011,Landslide,,,,,,,,
12,Shyanja,-,,,1/7/2011,Landslide,,,,,,,,
13,Kaski,Salyan,,,1/7/2011,Landslide,,,,,,,,
14,Tanahu,Bhanumati,,,1/7/2011,Landslide,,,,,,,,
15,Tanahu,-,,,1/7/2011,Landslide,,,,,,,,
16,Tanahu,Bandipur,,,1/7/2011,Landslide,,,,,,,,
17,Tanahu,-,,,1/7/2011,Landslide,,,,,,,,
18,Tanahu,Arunodaya,,,1/7/2011,Landslide,,,,,,,,
19,Tanahu,Bhanumati,,,1/7/2011,Landslide,,,,,,,,
20,Tanahu,Bhimad,,,1/7/2011,Landslide,,,,,,,,
21,Lalitpur,Chapagaun,,,1/7/2011,Landslide,,,,,,,,
22,Makwanpur,-,,,1/7/2011,Landslide,,,,,,,,
23,Achhaam,-,,,2/7/2011,Landslide,,,,,,,,
24,Shyanja,PANCHAMUL,,,2/7/2011,Landslide,,,,,,,,
25,Sarlahi,Lamatar,,,2/7/2011,Landslide,,,,,,,,
26,Shyanja,Ramkot,,,3/7/2011,Landslide,,,,,,,,
27,Shyanja,RAPAKOT,,,3/7/2011,Landslide,,,,,,,,
28,Shyanja,RAPAKOT,,,3/7/2011,Landslide,,,,,,,,
29,Shyanja,-,,,3/7/2011,Landslide,,,,,,,,
30,Shyanja,-,,,3/7/2011,Landslide,,,,,,,,
31,Tanahu,-,,,3/7/2011,Landslide,,,,,,,,
32,Tanahu,Jamune,,,3/7/2011,Landslide,,,,,,,,
33,Baglung,Righa,,,4/7/2011,Landslide,,,,,,,,
34,Shyanja,-,,,4/7/2011,Landslide,,,,,,,,
35,Shyanja,-,,,4/7/2011,Landslide,,,,,,,,
36,Kaski,Thumki,,,4/7/2011,Landslide,,,,,,,,
37,Humla,Simikot,,,5/7/2011,Landslide,,,,,,,,
38,Mugu,-,,,5/7/2011,Landslide,,,,,,,,
39,Dolpa,-,,,5/7/2011,Landslide,,,,,,,,
40,Shyanja,-,,,5/7/2011,Landslide,,,,,,,,
41,Tanahu,Bandipur,,,5/7/2011,Landslide,,,,,,,,
42,Shyanja,WALING,,,6/7/2011,Landslide,,,,,,,,
43,Shyanja,WALING,,,6/7/2011,Landslide,,,,,,,,
44,Mustang,LETE,,,6/7/2011,Landslide,,,,,,,,
45,Myagdi,Ghatan,,,7/7/2011,Landslide,,,,,,,,
46,Palpa,-,,,8/7/2011,Landslide,,,,,,,,
47,Sindhuli,Bastipur,,,8/7/2011,Landslide,,,,,,,,
48,Humla,-,,,9/7/2011,Landslide,,,,,,,,
49,Sindhupalchowk,-,,,9/7/2011,Landslide,,,,,,,,
50,Bhojpur,Boya,,,13/07/2011,Landslide,,,,,,,,
51,Shankhuwasabha,Khandbari,,,13/07/2011,Landslide,,,,,,,,
52,Taplejung,-,,,13/07/2011,Landslide,,,,,,,,
53,Rukum,-,,,15/07/2011,Landslide,,,,,,,,
54,Rukum,-,,,15/07/2011,Landslide,,,,,,,,
55,Jajarkot,Ragda,,,15/07/2011,Landslide,,,,,,,,
56,Dolpa,Juphal,,,15/07/2011,Landslide,,,,,,,,
57,Nuwakot,-,,,15/07/2011,Landslide,,,,,,,,
58,Nuwakot,Okharpauwa,,,15/07/2011,Landslide,,,,,,,,
59,Sindhupalchowk,Simpalkavre,,,16/07/2011,Landslide,,,,,,,,
60,Manang,Dharapani,,,17/07/2011,Landslide,,,,,,,,
